,price,com_ipva_pago,aceita_troca,entrega_a_domicilio,unico_dono,com_preco_negociavel,higienizacao_completa,nao_aceita_troca,com_garantia_mecanica,test_drive_a_domicilio,marca,modelo,ano,cor,tipo_de_combustivel,motor,tipo_de_transmissao,quilometros,portas
621,43900.0,False,True,False,True,False,True,False,False,False,Hyundai,HB20,2013,Prateado,Gasolina e álcool,1.6,Manual,65000,5
622,69900.0,True,True,False,False,False,True,False,False,False,Honda,City,2016,Branco,Gasolina-Álcool e gás natural,1.5,Automática,65000,5
625,125990.0,False,False,False,False,False,False,False,False,False,Fiat,FASTBACK,2023,Preto,Gasolina e álcool,1.0,Automática,65000,4
627,91900.0,True,True,False,False,False,False,False,False,False,Chevrolet,Tracker,2019,Preto,Gasolina e álcool,1.4,Automática,65000,5
628,305000.0,False,False,False,False,False,False,False,False,False,Mini,Cooper,2022,Branco,Gasolina,2.0,Automática,65000,2
629,80190.0,False,False,False,False,False,False,False,False,False,Hyundai,HB20,2024,Branco,Gasolina e álcool,1.0,Manual,65000,4
630,67900.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2020,Branco,Gasolina e álcool,1.0,Manual,65000,5
632,19700.0,False,False,False,False,False,False,False,False,False,Citroën,C3,2007,Preto,Gasolina e álcool,1.6,Manual,65000,5
634,105000.0,False,False,False,False,False,False,False,False,False,Chevrolet,Tracker,2021,Branco,Gasolina e álcool,1.0,Automática,65000,5
635,15000.0,False,True,False,False,True,False,False,False,False,Ford,Ka,2003,Prateado,Gasolina,1.0,Manual,65000,3
636,99990.0,False,False,False,False,False,False,False,False,False,Hyundai,HB20,2023,Branco,Flex,1.0,Automática,0,4
638,35900.0,True,True,True,False,True,False,False,True,False,Chevrolet,Classic,2015,Prateado,Gasolina e álcool,1.0,Manual,65000,4
640,85900.0,False,False,False,False,False,False,False,False,False,Jeep,Renegade,2018,Preto,Gasolina e álcool,1.8,Automática,65000,5
641,105000.0,False,False,False,False,False,False,False,False,False,Fiat,Pulse,2022,Prateado,Gasolina e álcool,1.0,Automática,11775,4
642,77900.0,False,False,False,False,False,False,False,False,False,Ford,Ecosport,2020,Branco,Gasolina e álcool,1.5,Automática,65000,5
643,57900.0,False,True,False,False,False,True,False,False,False,Toyota,Corolla,2012,Preto,Gasolina e álcool,2.0,Automática,65000,4
645,119890.0,False,False,False,False,False,False,False,False,False,Honda,City,2023,Preto,Flex,1.5,Automática,0,4
646,243290.0,False,False,False,False,False,False,False,False,False,Nissan,Sentra,2023,Branco,Gasolina,2.0,Automática,65000,4
647,120000.0,False,False,False,False,False,False,False,False,False,Jeep,Compass,2019,Cinza-escuro,Gasolina e álcool,2.0,Automática,65000,5
648,104900.0,False,False,False,False,False,False,False,False,False,Jeep,Compass,2018,Branco,Gasolina e álcool,2.0,Automática,65000,5
652,288620.0,False,False,False,False,False,False,False,False,False,Chevrolet,S-10,2023,Branco,Diesel,2.8,Automática,65000,4
653,326120.0,False,False,False,False,False,False,False,False,False,Chevrolet,S-10,2023,Branco,Diesel,2.8,Automática,65000,4
655,88190.0,False,False,False,False,False,False,False,False,False,Hyundai,Novo HB20,2023,Prateado,Gasolina e álcool,1.0,Manual,65000,4
656,206000.0,False,False,False,False,False,False,False,False,False,Jeep,Compass,2022,Azul,Diesel,2.0,Automática,65000,5
657,84900.0,True,True,False,False,False,True,False,False,False,Volkswagen,Virtus,2020,Cinza-escuro,Gasolina e álcool,1.0,Automática,65000,5
659,160740.0,False,False,False,False,False,False,False,False,False,Chevrolet,Tracker,2023,Prata,Gasolina e álcool,1.2,Automática,65000,4
661,369900.0,False,False,False,False,False,False,False,False,False,BMW,330E,2021,Azul,Híbrido,2.0,Automática,30000,4
662,93990.0,True,False,False,False,False,False,False,False,False,Fiat,Strada,2020,Prateado,Gasolina e álcool,1.8,Manual,65000,3
663,42990.0,False,True,False,False,False,True,False,False,False,Fiat,Idea,2014,Prateado,Gasolina e álcool,1.8,Automática,65000,4
667,24890.0,True,True,False,False,False,True,False,False,False,Nissan,Tiida,2012,Preto,Álcool e gás natural,1.8,Manual,65000,4
668,75000.0,False,False,False,False,False,False,False,False,False,Volkswagen,Up!,2020,Prateado,Gasolina e álcool,4.0,Manual,65000,4
669,69900.0,True,True,False,True,False,True,False,False,False,Chevrolet,Onix,2019,Branco,Gasolina e álcool,1.4,Automática,65000,4
670,79900.0,False,True,False,False,False,True,False,False,False,Mini,Countryman,2012,Azul,Gasolina,1.6,Automática,65000,2
671,399000.0,False,True,False,False,False,False,False,False,False,Ford,Mustang,2019,Vermelho,Gasolina,5.0,Automática,14578,2
672,48990.0,False,True,False,False,False,False,False,False,False,Ford,Ka,2017,Branco,Gasolina e álcool,1.0,Manual,65000,4
674,30900.0,False,True,True,False,True,False,False,False,True,Chevrolet,Meriva,2010,Prateado,Gasolina e álcool,1.4,Manual,65000,5
675,399900.0,True,True,True,False,False,False,False,False,False,Porsche,Macan,2018,Branco,Gasolina,3.0,Automática,65000,5
676,29500.0,False,False,False,False,True,False,True,True,False,Fiat,Idea,2012,Vermelho,Gasolina e álcool,1.4,Manual,65000,5
677,167100.0,False,False,False,False,False,False,False,False,False,Mitsubishi,Eclipse Cross,2021,Branco,Gasolina,1.5,Automática,16535,4
678,84900.0,True,False,False,False,False,False,False,False,False,Renault,Captur,2018,Laranja,Gasolina e álcool,1.6,Automática sequencial,65000,4
680,29990.0,False,True,False,False,True,False,False,False,False,Chevrolet,Corsa Hatch,2012,Preto,Gasolina e álcool,1.4,Manual,65000,4
681,47900.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2017,Vermelho,Gasolina e álcool,1.0,Manual,65000,5
682,79900.0,False,False,False,False,False,False,False,False,False,Fiat,Argo,2019,Vermelho,Gasolina e álcool,1.8,Manual,65000,5
683,43900.0,False,False,False,False,False,False,False,False,False,Ford,Fiesta,2014,Vermelho,Gasolina e álcool,1.5,Manual,65000,5
686,135999.0,False,True,False,False,False,False,False,False,False,Kia,Sportage,2018,Preto,Gasolina e álcool,2.0,Automática,90300,4
687,41900.0,False,False,False,False,False,False,False,False,False,Hyundai,HB20,2014,Branco,Gasolina e álcool,1.0,Manual,65000,4
688,101550.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2023,Prata,Gasolina e álcool,1.0,Automática,65000,4
689,114540.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2024,Prata,Gasolina e álcool,1.0,Automática,65000,4
690,114540.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2024,Cinza,Gasolina e álcool,1.0,Automática,65000,4
691,109540.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2023,Prata,Gasolina e álcool,1.0,Automática,65000,4
693,60990.0,True,False,False,False,False,False,False,False,False,Honda,Fit,2015,Preto,Gasolina e álcool,1.5,Automática,65000,4
694,59990.0,False,False,False,False,False,False,False,False,False,Fiat,Argo,2019,Branco,Gasolina e álcool,1.0,Manual,65000,4
695,87900.0,False,False,False,False,False,False,False,False,False,Mercedes-Benz,Classe B,2014,Prateado,Gasolina,1.6,Automática,65000,5
697,59900.0,True,True,False,False,False,False,False,False,False,Volkswagen,Fox,2018,Vermelho,Gasolina e álcool,1.0,Manual,65000,5
698,39990.0,False,False,False,False,False,False,False,False,False,Nissan,Tiida,2013,Prateado,Gasolina e álcool,1.8,Automática,65000,5
699,36900.0,False,False,False,False,False,False,False,False,False,Fiat,Punto,2013,Vermelho,Gasolina e álcool,1.4,Manual,65000,5
700,119900.0,True,True,True,False,False,True,False,False,True,Honda,Civic,2020,Cinza-escuro,Gasolina e álcool,2.0,Automática,65000,4
701,199900.0,False,True,True,False,True,False,False,True,True,Mercedes-Benz,C 200,2019,Cinza-escuro,Gasolina e elétrico,1.5,Automática,65000,4
702,294900.0,True,True,False,False,False,False,False,False,False,Mercedes-Benz,Sprinter Van,2023,Branco,Diesel,2.3,Manual,65000,3
703,149990.0,False,False,False,False,False,False,False,False,False,Fiat,Pulse,2023,Vermelho,Gasolina e álcool,1.3,Automática,65000,4
705,132900.0,True,True,False,False,False,False,False,False,False,Honda,HR-V,2021,Cinza-escuro,Gasolina e álcool,1.8,Automática,65000,5
706,279999.0,False,False,False,False,False,False,False,False,False,BMW,X3,2019,Azul,Gasolina,2.0,Automática,65000,5
708,63900.0,False,False,False,False,False,False,False,False,False,Lifan,X60,2018,Preto,Gasolina,1.8,Automática,65000,5
709,243990.0,False,False,False,False,False,False,False,False,False,Kia,Niro,2023,Azul,Híbrido,1.6,Automática,0,4
710,183900.0,False,False,False,False,False,False,False,False,False,BMW,X1,2020,Branco,Gasolina e álcool,2.0,Automática,65000,5
712,65900.0,False,False,False,False,False,False,False,False,False,Nissan,Versa,2020,Preto,Gasolina e álcool,1.6,Automática sequencial,65000,4
713,52000.0,False,True,False,False,False,False,False,False,False,Ford,Fiesta Sedan,2015,Cinza-escuro,Gasolina e álcool,1.6,Semiautomática,65000,4
714,101990.0,False,False,False,False,False,False,False,False,False,Nissan,Kicks,2021,Cinza-escuro,Gasolina e álcool,1.6,Automática sequencial,65000,4
715,89889.0,True,True,False,True,False,False,False,False,False,Kia,Sportage,2016,Branco,Gasolina e álcool,2.0,Automática,65000,4
717,103990.0,False,False,False,False,False,False,False,False,False,Honda,Civic,2017,Preto,Gasolina e álcool,2.0,Manual,65000,4
720,54990.0,False,True,False,False,False,False,False,False,False,Ford,Focus,2014,Branco,Gasolina e álcool,1.6,Automática,65000,5
721,72990.0,False,True,False,False,False,False,False,False,False,Renault,Duster,2018,Prateado,Gasolina e álcool,1.6,Automática,65000,4
722,55990.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2018,Branco,Gasolina e álcool,1.0,Manual,65000,5
723,1350000.0,False,False,False,False,False,False,False,False,False,Porsche,Outros Modelos,2023,Azul,Gasolina e elétrico,4.0,Automática,0,4
726,93900.0,False,False,False,False,False,False,False,False,False,Kia,Sportage,2015,Vermelho,Gasolina e álcool,2.0,Automática,65000,5
728,62700.0,False,True,False,False,False,True,False,False,False,Hyundai,Elantra,2013,Preto,Gasolina e álcool,2.0,Automática,65000,4
729,153990.0,False,True,True,False,True,False,False,False,True,Hyundai,Creta,2022,Prateado,Gasolina e álcool,1.0,Automática,65000,5
731,194900.0,False,False,False,False,False,False,False,False,False,Chevrolet,S-10,2018,Azul,Diesel,2.8,Automática,65000,4
732,75999.0,True,True,False,True,False,True,False,False,False,Citroën,C4 Cactus,2022,Vermelho,Gasolina e álcool,1.6,Automática,65000,4
733,469990.0,False,False,False,False,False,False,False,False,False,BMW,430I,2022,Azul,Gasolina,2.0,Automática,65000,2
734,19500.0,False,True,False,False,False,True,False,False,False,Chevrolet,Classic,2011,Prateado,Gasolina e álcool,1.0,Manual,65000,4
737,223800.0,False,True,False,True,True,False,False,True,False,Mercedes-Benz,Sprinter Chassi,2021,Branco,Diesel,2.2,Manual,65000,2
739,160900.0,False,False,False,False,False,False,False,False,False,Suzuki,Jimny,2022,Prateado,Gasolina,1.5,Manual,65000,2
740,419990.0,False,False,False,False,False,False,False,False,False,Toyota,Hilux SW4,2022,Branca,Diesel,4.0,Automática,15000,4
741,419990.0,False,False,False,False,False,False,False,False,False,Toyota,Hilux SW4,2022,Branca,Diesel,4.0,Automática,15000,4
742,254990.0,False,False,False,False,False,False,False,False,False,Mitsubishi,Pajero Full,2019,Prateado,Diesel,3.2,Automática,65000,4
744,125740.0,False,False,False,False,False,False,False,False,False,Chevrolet,Montana,2023,Vermelho,Gasolina e álcool,1.2,Manual,0,4
